год,2987
срок,2810
либо,2285
размер,1663
лишение,1502
свобода,1352
определённый,1068
иной,1016
лицо,954
работа,922
наказываться,919
осудить,820
тысяча,793
рубль,763
статья,759
таковой,736
штраф,725
доход,707
период,679
плата,664
заработный,663
настоящий,635
деятельность,613
пять,598
право,596
преступление,571
деяние,555
принудительный,543
должность,540
занимать,530
),528
заниматься,518
совершенный,473
предусмотренный,445
ограничение,413
месяц,390
часть,385
наказание,362
группа,336
крупный,308
шесть,297
четыре,276
миллион,263
совершение,255
федерация,247
российский,246
кодекс,234
средство,230
обязательный,227
повлечь,224
тяжкий,210
триста,209
исправительный,207
пятьсот,200
часы,193
частью,189
восемьдесят,184
совершить,180
отношение,177
суд,176
который,174
организация,166
мочь,163
сто,162
применение,160
особо,160
использование,160
также,158
это,158
б,157
равно,155
уголовный,152
организовать,149
арест,149
сумма,146
цель,144
предварительный,139
примечание,136
двести,135
сговор,133
причинение,132
ущерб,132
незаконный,131
государственный,131
случай,130
признаваться,128
ответственность,127
неосторожность,127
четыреста,125
вред,123
несовершеннолетний,122
закон,121
десять,121
действие,120
семь,119
вид,118
вещество,116
человек,109
свой,109
заведомо,108
двадцать,105
здоровье,105
последствие,104
превышать,102
орган,101
имущество,100
смерть,93
указанный,92
нарушение,90
восемнадцать,88
служба,88
сила,87
насилие,87
восемь,86
положение,85
служебный,85
федеральный,85
возраст,82
причинить,82
гражданин,81
отбывание,79
характер,78
пятнадцать,78
соответствующий,77
военный,76
медицинский,76
угроза,75
наркотический,75
психотропный,75
назначить,73
информация,73
опасный,70
должностной,69
законодательство,68
установленный,66
подкуп,66
содержание,66
правило,66
государство,65
состояние,65
предмет,64
приговор,63
мера,62
оружие,62
денежный,61
место,60
шестьдесят,60
потерпевший,60
иностранный,59
соответствие,59
исполнение,59
обязанность,59
коммерческий,58
виновный,57
условие,57
воинский,56
взятка,56
референдум,56
общественный,55
содержимый,55
n,55
фз,55
освобождаться,55
интерес,54
документ,54
утратить,53
сбыт,53
обстоятельство,52
оно,52
путём,51
сведение,51
достигнуть,50
законный,50
порядок,49
иметь,49
день,49
осуществление,48
умышленный,48
административный,48
двенадцать,48
уничтожение,48
ценный,48
являться,47
предел,47
специальный,47
опасность,46
тяжесть,45
назначение,45
участие,45
стоимость,45
массовый,45
результат,44
бумага,44
находиться,43
особенный,43
сопрячь,43
жизнь,43
имущественный,42
решение,42
значительный,42
дисциплинарный,42
производство,42
пожизненный,41
объект,41
качество,40
социальный,40
время,39
число,39
учёт,39
назначаться,39
лечение,39
хранение,39
менее,38
сорок,38
состав,37
уклонение,37
прекурсор,37
транспортный,37
пониматься,37
приобретение,37
территория,36
осуществлять,36
``,36
пятьдесят,36
подлежать,35
основание,35
услуга,35
'',35
передача,35
публичный,35
международный,34
безопасность,34
средний,34
власть,34
учреждение,34
мотив,34
связь,34
дело,33
добровольно,33
получение,33
фонд,33
психический,32
имя,32
охранять,31
содержаться,31
финансовый,31
судебный,31
взнос,31
совокупность,30
исключение,30
течение,30
сеть,30
страхов,30
против,29
представление,29
повреждение,29
юридический,29
небольшой,28
помощь,28
ненависть,28
вражда,28
участник,28
материал,28
эксплуатация,28
избирательный,28
семьсот,28
общество,27
физический,27
судимость,27
строгий,27
изготовление,27
ребёнок,27
впервые,27
помещение,27
составлять,27
ложный,27
террористический,27
таможенный,27
настоящее,26
товар,26
женщина,26
освобождение,26
перевозка,26
растение,26
представитель,25
военнослужащий,25
сфера,25
общий,25
связанный,25
сообщество,25
предоставление,25
далее,25
момент,25
контроль,25
способствовать,25
корыстный,25
распространение,25
личность,24
наступление,24
осуждение,24
расстройство,24
создание,24
половый,24
освободить,24
преступный,23
предусмотреть,23
требование,23
акт,23
близкие,23
существенный,23
информационнотелекоммуникационный,23
проведение,23
сбор,23
общественно,22
максимальный,22
наличие,22
ранее,22
вследствие,22
возможность,22
принуждение,22
смертный,22
казнь,22
комиссия,22
религиозный,22
использовать,22
продукция,22
хищение,22
направить,21
условный,21
четырнадцатилетний,21
способ,21
дополнительный,21
система,21
поведение,21
раскрытие,21
пункт,21
функция,21
оказывать,21
побуждение,21
чужое,21
культурный,21
охрана,20
обеспечение,20
признак,20
хотя,20
применяться,20
основный,20
уплата,20
граница,20
дача,20
компьютерный,20
налог,20
гражданство,19
рецидив,19
аналог,19
отказ,19
прекращение,19
признать,19
уполномоченный,19
изменение,19
заболевание,19
экстремистский,19
вымогательство,19
извлечение,19
отбывать,18
отсутствие,18
мягкий,18
подлежащее,18
профессиональный,18
достижение,18
пребывание,18
полтора,18
условнодосрочный,18
стационарный,18
владелец,18
предназначить,18
воспрепятствование,18
поддельный,18
индивидуальный,18
алкогольный,18
степень,17
водный,17
необходимый,17
материальный,17
муниципальный,17
призыв,17
специализировать,17
оказание,17
заключение,17
испытательный,17
условно,17
давность,17
психиатрический,17
внесение,17
соединить,17
продажа,17
полномочие,17
тайна,17
неправомерный,17
голосование,17
неоднократно,17
предприниматель,17
реестр,17
зона,16
зависимость,16
полный,16
опьянение,16
член,16
подготовка,16
неисполнение,16
отбытие,16
выполнение,16
расчёт,16
неприкосновенность,16
стража,16
расследование,16
национальный,16
вооружённый,16
тип,16
сексуальный,16
обращение,16
изъятие,16
самоубийство,16
подвергнуть,16
руководитель,16
изделие,16
смягчающий,15
договор,15
вопрос,15
дать,15
запретить,15
свыше,15
учитываться,15
отсрочка,15
убийство,15
задержание,15
назначать,15
е,15
выплата,15
восемнадцатилетний,15
воспитательный,15
политический,15
какойлибо,15
взрывчатый,15
воздействие,15
полностью,15
истечение,15
деньга,15
ценность,15
правонарушение,15
марка,15
валюта,15
тридцатикратный,15
ресурс,15
служащий,15
окружающий,14
объединение,14
вступление,14
выдача,14
